,SOC code,Median Pay,High Meaning,High Satisfaction
805,27-1011.00,70200.0,0.35,0.67
529,27-1013.00,51600.0,0.51,0.58
658,27-1021.00,61800.0,0.44,0.67
872,27-1022.00,50700.0,0.26,0.58
343,27-1023.00,25600.0,0.61,0.58
821,27-1024.00,41500.0,0.34,0.64
450,27-1025.00,45600.0,0.54,0.72
814,27-1026.00,30900.0,0.35,0.64
435,27-1027.00,51500.0,0.54,0.76
273,27-2011.00,43900.0,0.67,0.76
690,27-2012.00,56700.0,0.43,0.67
260,27-2022.00,41200.0,0.68,0.76
41,27-2041.00,46500.0,0.88,0.8
89,27-2042.00,49100.0,0.83,0.75
546,27-3011.00,39200.0,0.5,0.69
443,27-3021.00,51400.0,0.54,0.68
419,27-3022.00,36700.0,0.55,0.67
515,27-3031.00,44400.0,0.52,0.69
709,27-3041.00,47600.0,0.42,0.65
715,27-3042.00,62200.0,0.41,0.68
846,27-3043.00,49100.0,0.3,0.67
203,27-3091.00,43500.0,0.76,0.72
801,27-3099.00,41400.0,0.36,0.63
472,27-4011.00,42300.0,0.53,0.67
602,27-4012.00,49600.0,0.47,0.64
712,27-4014.00,46600.0,0.42,0.76
739,27-4021.00,40800.0,0.4,0.71
855,27-4032.00,39500.0,0.29,0.56
10,29-1011.00,60100.0,0.92,0.7
55,29-1021.00,129000.0,0.86,0.82
159,29-1031.00,48700.0,0.78,0.74
56,29-1041.00,102000.0,0.86,0.81
166,29-1051.00,113000.0,0.78,0.77
12,29-1061.00,273000.0,0.91,0.83
25,29-1062.00,165000.0,0.9,0.78
85,29-1063.00,197000.0,0.83,0.71
147,29-1064.00,204000.0,0.79,0.62
37,29-1065.00,149000.0,0.88,0.89
11,29-1066.00,197000.0,0.92,0.85
4,29-1067.00,304000.0,0.96,0.83
33,29-1069.00,225000.0,0.89,0.8
95,29-1071.00,88100.0,0.83,0.78
99,29-1081.00,116000.0,0.83,0.66
15,29-1122.00,64400.0,0.91,0.77
30,29-1123.00,73400.0,0.9,0.79
8,29-1124.00,70200.0,0.93,0.86
51,29-1125.00,30900.0,0.87,0.74
129,29-1126.00,51400.0,0.81,0.74
21,29-1127.00,65700.0,0.9,0.79
63,29-1131.00,70600.0,0.85,0.7
143,29-1141.00,60100.0,0.8,0.71
44,29-1181.00,69500.0,0.88,0.72
